state.fips,state.abb,state,pvi
02,AK,alaska,-12.017055377289864
01,AL,alabama,-13.880583321716319
05,AR,arkansas,-13.99008065918457
04,AZ,arizona,-7.290658149870885
06,CA,california,9.248612699229884
08,CO,colorado,0.8223897268937963
09,CT,connecticut,7.218440185119507
11,DC,district of columbia,40.16719108955546
10,DE,delaware,8.215529106372227
12,FL,florida,-1.8960615930783686
13,GA,georgia,-6.119509982645385
15,HI,hawaii,19.521769511553785
19,IA,iowa,1.0770471805726323
16,ID,idaho,-17.550006002509072
17,IL,illinois,7.828876040127002
18,IN,indiana,-5.166228254185737
20,KS,kansas,-12.189818960292376
21,KY,kentucky,-12.715117668965888
22,LA,louisiana,-11.9290175660608
25,MA,massachusetts,9.664361802995353
24,MD,maryland,10.298888861684624
23,ME,maine,5.517705510281223
26,MI,michigan,3.758899145455069
27,MN,minnesota,1.7582830503343305
29,MO,missouri,-5.248921213299698
28,MS,mississippi,-9.048932774036938
30,MT,montana,-6.928835252122223
37,NC,north carolina,-3.261053479679971
38,ND,north dakota,-10.090293389405101
31,NE,nebraska,-12.196250023406632
33,NH,new hampshire,1.0241288709726737
34,NJ,new jersey,5.5987228261556385
35,NM,new mexico,3.6530346546420125
32,NV,nevada,2.070122466060187
36,NY,new york,11.111770138700717
39,OH,ohio,-0.9030689124593205
40,OK,oklahoma,-19.03571811106616
41,OR,oregon,4.5154264997761535
42,PA,pennsylvania,1.1538012304770084
44,RI,rhode island,11.280424065802812
45,SC,south carolina,-7.744292211923012
46,SD,south dakota,-9.584120864366438
47,TN,tennessee,-11.818289342535385
48,TX,texas,-9.798934661234682
49,UT,utah,-22.403292812154902
51,VA,virginia,-0.2520371307651148
50,VT,vermont,15.74620260465323
53,WA,washington,5.363144858154268
55,WI,wisconsin,2.4590126478667482
54,WV,west virginia,-13.001038377801123
56,WY,wyoming,-21.688346361519798
